cnpj,razao_social,cnae_2_subclasse,id_municipio,headcount
07689002000189,EMBRAER S.A.,3041500,3549904,8893
43948405000169,LUPO S.A.,1421500,3503208,5004
61156113000175,IOCHPE-MAXION S.A.,2949299,3513405,4832
60476884000187,MAHLE METAL LEVE S.A.,2941700,3530706,2987
56720428001488,ROMI S.A.,2840200,3545803,974
89637490000145,KLABIN S.A.,1710900,3550308,480
59418806000147,TRACK & FIELD CO S.A.,1412601,3550308,502
61092037000181,ETERNIT S.A,2330303,3550308,119
