cnpj,razao_social,sigla_uf,cnae_secao,archetype,headcount,receita_point_brl,receita_pia_brl,convergencia_pct,confidence
60412806000119,METALURGICA CANINDE LTDA,SP,C,standard,69,42441982.56435744,40527754.44,4.510223153347692,alta
46321980000125,PLASTICOS ALKO LIMITADA,SP,C,family_mature_sweet_spot,91,42428422.9411451,34847493.589999996,17.867572786433865,alta
66037045000149,RANGEL INDUSTRIA E COMERCIO LTDA,SP,C,labor_intensive_midcap,62,42367573.00706952,31918484.12,24.662939473370276,alta
24341188000108,SOBERANA DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS LTDA,RJ,G,standard,28,42357716.98045096,49881025.32,17.76136410520241,alta
62478953000117,MARAJO INDUSTRIA E COMERCIO DE PAPEIS LTDA,SP,C,labor_intensive_midcap,64,42274168.41988632,32948112.64,22.060885236714018,alta
02243006000115,DECTECH INDUSTRIA METALURGICA LTDA,SP,C,labor_intensive_midcap,58,42157018.25516353,33824837.3,19.76463540360324,alta
11503668000178,LBG LOGISTICA LTDA,SP,H,labor_intensive_midcap,167,42092962.823349126,35869006.49,14.786215832487496,alta
51406083000154,RLX  GESTAO AMBIENTAL E RECICLAGEM  LTDA,RJ,G,standard,22,42068335.679214105,39192234.18,6.8367370678635675,alta
62385653000193,COMERCIO DE CIMENTO E CAL SOROCABA LTDA,SP,G,standard,19,41927664.441844486,33847838.61,19.270870293888084,alta
11628627000108,"AGRO TEATO COMERCIO, IMPORTACAO E EXPORTACAO DE HORTIFRUTIGRANJEIROS LTDA",SP,G,standard,19,41926280.82013878,33847838.61,19.268206127786087,alta
00913872000140,TEXTIL H. CARVALHO LTDA,SP,C,labor_intensive_midcap,93,41808523.238298856,38111294.91,8.843240664649928,alta
00623468000132,"COPEL - CONSTRUCOES, INDUSTRIA E COMERCIO LTDA",SP,C,labor_intensive_midcap,86,41791015.562907286,44398317.0,6.238904228512918,alta
73142960000160,DILEPE INDUSTRIA E COMERCIO DE MATERIAIS ORTOPEDICOS LT,SP,C,labor_intensive_midcap,92,41726293.75942995,36107880.32,13.464923273134488,alta
24838083000150,M.A. PLASTICOS COMERCIO E RECICLAGEM LTDA,SP,G,family_mature_sweet_spot,20,41672232.75802967,35629303.8,14.501092353553538,alta
07114368000120,TECLABEL SOLUCOES INDUSTRIAIS LTDA,SP,C,labor_intensive_midcap,69,41629976.90779242,34199887.26,17.847931225735643,alta
00966368000109,ARGENT INDUSTRIA DE ABRASIVOS E PESQUISAS TECNOLOGICAS LTDA,SP,C,family_mature_sweet_spot,37,41596177.192341015,35070492.550000004,15.68818358515543,alta
29567274000149,G4 CORPORATION COMERCIO DE ALIMENTOS E CESTAS BASICAS LTDA,RJ,G,standard,18,41556791.77774411,32066373.419999998,22.837225762039544,alta
49032279000184,WUTZL SISTEMAS DE IMPRESSAO LTDA,SP,C,standard,66,41452241.28116714,33202656.96,19.9014192386146,alta
32666236000158,ECO SOUZA REPRESENTACOES LTDA,RJ,G,standard,25,41447735.130428195,44536629.75,7.4525052089134345,baixa
38196311000140,SUPER 10 LOGISTICA LTDA,RJ,H,labor_intensive_midcap,190,41442981.150032945,40809049.3,1.529648284079689,alta
06346005000157,MAXSOY ALIMENTOS LTDA,SP,C,standard,62,41412083.0730762,42160218.86,1.806564005977742,alta
06010992000114,INDUSTRIA E COMERCIO DE CARNES NUTRIFRIGO LTDA,SP,C,labor_intensive_midcap,57,41366403.415261365,33579545.879999995,18.82411061240232,alta
